(tf_gpu_python2) pkar~/Development/CS388-NLP-HW2/code$ python -u pos_bilstm.py ../pos/wsj ../tmp/pos_train_lstm_output_dir/ standard train 2
41152 words found in training set.
Adding 73 orthographic features to LSTM output
WARNING:tensorflow:From pos_bilstm.py:171: calling argmax (from tensorflow.python.ops.math_ops) with dimension is deprecated and will be removed in a future version.
Instructions for updating:
Use the `axis` argument instead
2018-03-14 05:40:05.572728: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
480 batches ====> Validation Accuracy: 0.954, OOV Accuracy: 0.615, Perc. OOV Words: 3.442, Validation Loss: 0.167
490 batches ====> Validation Accuracy: 0.952, OOV Accuracy: 0.572, Perc. OOV Words: 3.442, Validation Loss: 0.170
500 batches ====> Validation Accuracy: 0.954, OOV Accuracy: 0.622, Perc. OOV Words: 3.442, Validation Loss: 0.163
510 batches ====> Validation Accuracy: 0.953, OOV Accuracy: 0.610, Perc. OOV Words: 3.442, Validation Loss: 0.166
520 batches ====> Validation Accuracy: 0.953, OOV Accuracy: 0.588, Perc. OOV Words: 3.442, Validation Loss: 0.164
530 batches ====> Validation Accuracy: 0.954, OOV Accuracy: 0.598, Perc. OOV Words: 3.442, Validation Loss: 0.162
540 batches ====> Validation Accuracy: 0.954, OOV Accuracy: 0.596, Perc. OOV Words: 3.442, Validation Loss: 0.160
550 batches ====> Validation Accuracy: 0.955, OOV Accuracy: 0.614, Perc. OOV Words: 3.442, Validation Loss: 0.158
560 batches ====> Validation Accuracy: 0.955, OOV Accuracy: 0.627, Perc. OOV Words: 3.442, Validation Loss: 0.156
570 batches ====> Validation Accuracy: 0.956, OOV Accuracy: 0.621, Perc. OOV Words: 3.442, Validation Loss: 0.155
580 batches ====> Validation Accuracy: 0.954, OOV Accuracy: 0.581, Perc. OOV Words: 3.442, Validation Loss: 0.158
590 batches ====> Validation Accuracy: 0.956, OOV Accuracy: 0.623, Perc. OOV Words: 3.442, Validation Loss: 0.153
600 batches ====> Validation Accuracy: 0.955, OOV Accuracy: 0.597, Perc. OOV Words: 3.442, Validation Loss: 0.156
610 batches ====> Validation Accuracy: 0.955, OOV Accuracy: 0.611, Perc. OOV Words: 3.442, Validation Loss: 0.153
620 batches ====> Validation Accuracy: 0.955, OOV Accuracy: 0.613, Perc. OOV Words: 3.442, Validation Loss: 0.154
630 batches ====> Validation Accuracy: 0.955, OOV Accuracy: 0.609, Perc. OOV Words: 3.442, Validation Loss: 0.154
640 batches ====> Validation Accuracy: 0.955, OOV Accuracy: 0.597, Perc. OOV Words: 3.442, Validation Loss: 0.153
650 batches ====> Validation Accuracy: 0.956, OOV Accuracy: 0.597, Perc. OOV Words: 3.442, Validation Loss: 0.153
660 batches ====> Validation Accuracy: 0.956, OOV Accuracy: 0.594, Perc. OOV Words: 3.442, Validation Loss: 0.152
670 batches ====> Validation Accuracy: 0.955, OOV Accuracy: 0.583, Perc. OOV Words: 3.442, Validation Loss: 0.153
680 batches ====> Validation Accuracy: 0.957, OOV Accuracy: 0.623, Perc. OOV Words: 3.442, Validation Loss: 0.149
690 batches ====> Validation Accuracy: 0.956, OOV Accuracy: 0.592, Perc. OOV Words: 3.442, Validation Loss: 0.152
700 batches ====> Validation Accuracy: 0.955, OOV Accuracy: 0.580, Perc. OOV Words: 3.442, Validation Loss: 0.152
